k,dir,t_start,duration,n,n_dropped,n_glitch,Vmin,Vmax,sigma_I,sigma_b,a_i,b_i,Vf,dVf,Vp,Te,Te_r2,Te_Vlo,Te_Vhi,Te_npts,Te_lo,Te_hi,te_alpha,te_beta,Ies,Iis,Iis_vf,ne,ni,lambdaD,Vp_expected,I_lo,I_hi,dIdV_max,hysteresis,flags
0,up,0.0,8.157999992370605,679,0,0,0.6946545839309692,9.992658615112305,1.0491591381171046e-08,1.5362273437689128e-08,,,,,,,,,,,,,,,,,,,,,,3.310883348880663e-07,2.1681621547245723e-06,,,partial_sweep
1,down,8.170000076293945,17.910999298095703,1457,0,0,-9.981837272644043,9.992658615112305,6.57753429443429e-09,9.627706185852445e-09,-6.96902500056407e-10,6.9229716088528064e-09,-3.1520441982855556,0.26180795840773935,,2.259957509044218,0.9821772020954638,-2.128681182861328,3.87241530418396,438.0,1.769258375319288,2.980169111572631,-15.799110821847975,0.4424861954253823,2.094081064226936e-06,-6.625874985220156e-08,-2.2518414994636515e-08,5196515107249.032,29018151538060.2,0.004902450393484901,8.5392491063378,-6.802887393846516e-08,2.161247467438726e-06,3.984750288656849e-07,,vp_beyond_range;not_saturated;te_nonexponential
2,up,26.089000701904297,17.773998260498047,1457,0,0,-9.987115859985352,9.991905212402344,6.937696975280884e-09,1.0152585519512073e-08,5.255304118014865e-08,1.2066005953862172e-08,-4.808881127366683,0.35090032581524333,,2.2168219154936986,0.9756377797754046,-2.352647542953491,3.4011054039001465,420.0,1.667928195685026,3.0241719895946435,-15.634101640265209,0.45109622609324235,2.0270297064047884e-06,-6.170088839076222e-08,-5.470947134073182e-09,5078828543025.596,27283661818697.934,0.004911371608676095,6.6592615763936385,-6.582748334962953e-08,2.1978522080607145e-06,3.8009280819830797e-07,0.5,vp_beyond_range;not_saturated;te_nonexponential
3,down,43.86399841308594,17.816001892089844,1457,0,0,-9.979575157165527,9.992658615112305,6.511713893207154e-09,9.53244272198697e-09,-8.472651834380039e-10,6.926782161774607e-09,-3.152127621757892,0.27838534382818436,,2.2569148973124404,0.9817291755117873,-2.15507435798645,3.859596014022827,439.0,1.762796348681197,2.9994786402599902,-15.782372083613794,0.4430827237618978,2.1050319302641622e-06,-6.586952199045064e-08,-2.2681366565467586e-08,5227209875433.556,28867127069360.234,0.004884743806067584,8.523425534643232,-6.743304027257371e-08,2.1720957747447317e-06,3.60220153011192e-07,0.5,vp_beyond_range;not_saturated;te_nonexponential
4,up,61.69200134277344,17.871002197265625,1457,0,0,-9.984853744506836,9.992658615112305,6.822831871665507e-09,9.985246627419802e-09,5.1720791696508456e-08,1.2001749118653695e-08,-4.774459824350809,0.38341136793051006,,2.2142566876920164,0.975011074621623,-2.378286838531494,3.3724496364593506,420.0,1.6565680259161588,3.0171486185677434,-15.618428394253216,0.4516188233995259,2.0304239372665596e-06,-6.18181704325606e-08,-5.581077292441345e-09,5090278963056.181,27351352631175.125,0.0049030052554825685,6.680412350869653,-6.565708908263571e-08,2.1997752984913728e-06,3.4889622857101136e-07,0.5,vp_beyond_range;not_saturated;te_nonexponential
5,down,79.57499694824219,17.81200408935547,1457,0,0,-9.983345985412598,9.992658615112305,6.3594572371731404e-09,9.307798149833898e-09,-5.672271127115746e-10,7.017044711887323e-09,-3.17505080699764,0.28060420858055546,,2.251408584146023,0.9817987214226035,-2.15507435798645,3.8316941261291504,437.0,1.7575176199662637,2.9776920595593874,-15.776498020977549,0.4441663796797274,2.110255254253736e-06,-6.655552344311088e-08,-2.284670058792794e-08,5246584511761.616,29203411516984.605,0.004869764848290262,8.472016892487563,-6.813159286960212e-08,2.1784787897084203e-06,3.967646815560746e-07,0.5,vp_beyond_range;not_saturated;te_nonexponential
6,up,97.40599822998047,17.705001831054688,1457,0,0,-9.984100341796875,9.993412971496582,6.603819840803197e-09,9.664721025806443e-09,5.058858263696808e-08,1.19247260777899e-08,-4.740559232518814,0.337785575742222,,2.214601963221714,0.9754501802192659,-2.419762134552002,3.3596301078796387,422.0,1.661484561319026,3.017875504794663,-15.606758585543602,0.4515484121332757,2.053514986725627e-06,-6.242406419094601e-08,-5.941287666356706e-09,5147766956474.105,27617276237615.29,0.004875931204651691,6.716099134465187,-6.599551828899548e-08,2.2209522404334085e-06,3.3712440291978103e-07,0.5,vp_beyond_range;not_saturated;te_nonexponential
7,down,115.12300109863281,17.811004638671875,1457,0,0,-9.978821754455566,9.992658615112305,6.305042923197908e-09,9.230247030465207e-09,-6.658612805705841e-11,7.10193840212814e-09,-3.164071912664452,0.28344338469072267,,2.25273361206998,0.9814876126000848,-2.125664710998535,3.846022129058838,436.0,1.7566261506975218,2.9907589237182326,-15.773425344161204,0.44390512692760203,2.1219340057944677e-06,-6.692356576083264e-08,-2.2537629951703764e-08,5274068846492.976,29356264822127.676,0.0048584886247391035,8.48985046883747,-6.899385929165631e-08,2.191490427420863e-06,4.049851450276702e-07,0.5,vp_beyond_range;not_saturated;te_nonexponential
8,up,132.93699645996094,17.843002319335938,1405,52,52,-9.983345985412598,9.992658615112305,1.5832587281466244e-08,2.2345214547392843e-08,5.2052395460202025e-08,1.2127241393896583e-08,-4.733075170178847,0.9375035575153431,,2.3986180214868056,0.9739655376572547,-2.173926830291748,4.033038139343262,453.0,1.7881067086495204,3.295031595543792,-15.600260363364,0.4169067317271888,,-6.309332275596899e-08,-5.346749664015006e-09,,26821279835424.617,,7.675541674488087,-6.701769208933711e-08,2.581564902380467e-06,1.0059703061408172e-06,,overrange_event;top_of_sweep_unreliable;te_nonexponential
9,down,150.8300018310547,17.834991455078125,1304,153,153,-9.978821754455566,9.992658615112305,9.307593984003989e-09,1.2193987563149488e-08,-1.3698459430210491e-08,7.808306958877438e-10,-2.4550013612865764,0.7255240572642413,,1.878495133849143,0.9961069083318329,-0.766783595085144,4.284905910491943,369.0,1.6695222001528145,2.1299012892366327,-16.228136288924258,0.5323410116857441,,-2.0829286231368293e-08,-1.5615399851549247e-08,,,,7.262897091780459,-2.1068884369984055e-08,2.609858449095425e-06,7.889271015464835e-07,,overrange_event;top_of_sweep_unreliable;iis_below_noise
